Time:  0.0 - RST: x | LOAD_COINS: x | LOAD_CANS: x | NICKELS: xx | DIMES: xx | CANS: xx | NICKEL_IN: x | DIME_IN: x | QUARTER_IN: x | EMPTY: x | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: x
Time:  0.5 - RST: 1 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: xx | DIMES: xx | CANS: xx | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: x | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: x
Time:  1.0 - RST: 1 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: xx | DIMES: xx | CANS: xx | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 1 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time:  1.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: xx | DIMES: xx | CANS: xx | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 1 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time:  2.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 1 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 1 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time:  3.0 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 1 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 0 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time:  3.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 0 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time:  4.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 1 | EMPTY: 0 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time:  5.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 0 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time:  6.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 1 | EMPTY: 0 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time:  7.0 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 1 | EMPTY: 1 | DISPENSE: 1 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time:  7.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 1 | DISPENSE: 1 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time:  8.0 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 1 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time:  8.5 - RST: 1 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 1 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time:  9.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 1 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time: 10.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 1 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 1 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time: 11.0 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 1 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 0 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time: 11.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: xx | DIMES: xx | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 0 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time: 12.5 - RST: 0 | LOAD_COINS: 1 | LOAD_CANS: 0 | NICKELS: 01 | DIMES: 02 | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 0 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 1
Time: 13.0 - RST: 0 | LOAD_COINS: 1 | LOAD_CANS: 0 | NICKELS: 01 | DIMES: 02 | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 0 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 0
Time: 13.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: 01 | DIMES: 02 | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 0 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 0
Time: 14.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: 01 | DIMES: 02 | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 1 | QUARTER_IN: 0 | EMPTY: 0 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 0
Time: 15.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: 01 | DIMES: 02 | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 0 | QUARTER_IN: 0 | EMPTY: 0 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 0
Time: 16.5 - RST: 0 | LOAD_COINS: 0 | LOAD_CANS: 0 | NICKELS: 01 | DIMES: 02 | CANS: 01 | NICKEL_IN: 0 | DIME_IN: 1 | QUARTER_IN: 0 | EMPTY: 0 | DISPENSE: 0 | NICKEL_OUT: 0 | DIME_OUT: 0 | TWO_DIME_OUT: 0 | USE_EXACT: 0
